universe,code,name,score,stage,strong_reason,pullback_quality,current_close,ma60,slope20_pct,distance_pct,distance_change_3d,pullback_from_high_pct,cross_date,last_cross_date,days_since_cross,held3,turnover_ratio,weekly_return_pct,foreign_week_eok,institution_week_eok,foreign_recent2_eok,institution_recent2_eok,foreign_week_value,institution_week_value,foreign_recent2_value,institution_recent2_value
KOSDAQ150,323280,태성,27.1,60일선 위 추세,,,45250.0,42039.17,-4.22,7.64,0.3,-9.23,,,,Y,0.58,2.14,-3.4,-2.9,-5.2,-0.9,-342598475,-292308575,-524670500,-86902050
KOSPI200,010950,S-Oil,25,과열·추격 주의,,,149700.0,137235.0,10.93,9.08,0.02,-9.76,,,,Y,0.7,2.89,124.9,12.6,17.9,117.1,12492490950,1256504500,1791781250,11708728850
KOSPI200,103140,풍산,25,과열·추격 주의,,,79700.0,72991.67,2.96,9.19,3.76,-0.25,,,,Y,0.66,2.71,8.3,27.6,25.6,11.2,829519050,2762520500,2556430600,1124314650
KOSPI200,082740,한화엔진,25,과열·추격 주의,,,51600.0,46778.33,-6.78,10.31,7.66,-4.09,,,,Y,1.41,2.58,-430.1,434.7,-82.1,240.6,-43012525725,43465362175,-8205587800,24063744600
KOSPI200,093370,후성,25,과열·추격 주의,,,14570.0,12404.5,-5.26,17.46,1.14,-0.48,,,,Y,2.02,2.46,-114.1,152.6,12.4,-40.4,-11411901680,15258572675,1243438950,-4043711780
KOSPI200,004020,현대제철,25,과열·추격 주의,,,35850.0,28943.33,-3.2,23.86,-0.12,0.0,,,,Y,1.4,10.31,-248.6,142.2,-117.1,24.6,-24855338825,14222691700,-11709170725,2464737325
KOSDAQ150,036830,솔브레인홀딩스,20,과열·추격 주의,,,41400.0,37394.17,-1.82,10.71,-0.46,-6.12,,,,Y,0.74,1.1,2.3,0.7,0.9,-0.6,228538425,67270100,92560700,-62938725
KOSDAQ150,232140,와이씨,20,과열·추격 주의,,,11960.0,10751.67,-9.88,11.24,1.51,-1.97,,,,Y,0.44,6.12,14.1,-2.5,-17.7,-1.0,1406068860,-250366800,-1773378380,-101598570
KOSPI200,002030,아세아,20,과열·추격 주의,,,218000.0,192630.0,4.38,13.17,1.76,-3.75,,,,Y,0.55,0.0,-3.9,4.3,-1.3,1.7,-387436250,433361250,-126791000,170347000
KOSDAQ150,036810,에프에스티,20,과열·추격 주의,,,26950.0,23406.33,-6.04,15.14,2.57,-0.55,,,,Y,0.55,6.52,-3.3,3.8,-5.2,2.8,-328742875,378905800,-523517675,283709175
KOSDAQ150,064760,티씨케이,20,과열·추격 주의,,,269000.0,227673.33,-1.92,18.15,1.71,-1.47,,,,Y,0.69,5.08,-32.8,27.5,9.8,-17.5,-3280087000,2750635750,978705250,-1754829250
KOSDAQ150,009520,포스코엠텍,16.0,과열·추격 주의,,,12720.0,11776.0,-5.78,8.02,0.05,-2.45,,,,Y,0.47,1.44,0.4,-0.5,5.2,0.6,41252235,-45109105,516306490,60798685
KOSDAQ150,161580,필옵틱스,15,과열·추격 주의,,,31500.0,29025.83,-12.4,8.52,0.78,-11.02,,,,Y,0.65,2.77,-53.9,1.7,-45.5,0.1,-5393754625,170022975,-4550009725,6273200
KOSPI200,012750,에스원,15,과열·추격 주의,,,83400.0,76205.0,3.88,9.44,-0.7,-2.23,,,,Y,0.97,-2.23,-60.9,58.8,-15.0,12.7,-6088155450,5879009300,-1500697400,1265478350
KOSDAQ150,041190,우리기술투자,15,과열·추격 주의,,,5560.0,5036.58,2.45,10.39,-0.48,-7.79,,,,Y,0.24,-2.11,-11.3,1.2,-7.5,3.7,-1132497395,122314730,-752676070,371011945
KOSPI200,180640,한진칼,15,과열·추격 주의,,,139200.0,124196.67,5.62,12.08,-0.39,-6.51,,,,Y,0.65,1.53,-8.9,-8.9,-28.0,16.9,-893872400,-886468400,-2804203900,1688146100
KOSDAQ150,124500,아이티센글로벌,15,과열·추격 주의,,,30200.0,26601.17,-6.26,13.53,-0.15,-11.44,,,,Y,0.52,-5.63,5.1,-28.3,25.3,-5.3,505042775,-2831217400,2532151900,-526832925
KOSDAQ150,095340,ISC,15,과열·추격 주의,,,186300.0,158605.0,-4.58,17.46,1.8,-2.26,,,,Y,0.69,4.43,-30.2,-15.5,-67.0,18.5,-3019255350,-1545604150,-6703835700,1854561300
KOSDAQ150,032820,우리기술,15,과열·추격 주의,,,13970.0,11356.17,-6.06,23.02,4.01,-4.32,,,,Y,0.72,1.82,-52.5,20.3,39.7,14.1,-5248411700,2031629890,3965839855,1414132585
KOSDAQ150,241710,코스메카코리아,15,과열·추격 주의,,,132100.0,105306.67,26.21,25.44,1.23,-3.29,,,,Y,0.94,1.69,-266.8,266.0,-67.7,46.7,-26684686000,26601691900,-6769375800,4672184150
KOSDAQ150,036930,주성엔지니어링,10,과열·추격 주의,,,204500.0,173823.33,-3.68,17.65,3.75,-7.47,,,,Y,0.88,0.99,-740.8,-243.3,-163.8,-33.8,-74077690650,-24333369300,-16381403500,-3379155500
